location_id,is_road,region,terrain_id,settlement,foraged_this_season
8f68890821964a4,FALSE,Talum,4,1,FALSE
8f68890821964a6,FALSE,Talum,4,1,FALSE
8f68890821964b0,FALSE,Talum,4,1,FALSE
8f68890821964b1,FALSE,Talum,4,1,FALSE
8f68890821964b2,FALSE,Talum,4,1,FALSE
8f68890821964b3,FALSE,Talum,4,1,FALSE
8f68890821964b4,FALSE,Talum,4,1,FALSE
8f68890821964b5,FALSE,Talum,4,1,FALSE
8f68890821964b6,FALSE,Talum,4,1,FALSE
8f6889082196500,FALSE,Talum,4,1,FALSE
8f6889082196502,FALSE,Talum,4,1,FALSE
8f6889082196503,FALSE,Talum,4,1,FALSE
8f6889082196504,FALSE,Talum,4,1,FALSE
8f6889082196505,FALSE,Talum,4,1,FALSE
8f6889082196506,FALSE,Talum,4,1,FALSE
8f6889082196510,FALSE,Talum,4,1,FALSE
8f6889082196511,FALSE,Talum,4,1,FALSE
8f6889082196512,FALSE,Talum,4,1,FALSE
8f6889082196513,FALSE,Talum,4,1,FALSE
8f6889082196514,FALSE,Talum,4,1,FALSE
8f6889082196515,FALSE,Talum,4,1,FALSE
8f6889082196516,FALSE,Talum,4,1,FALSE
8f688908219651a,FALSE,Talum,4,1,FALSE
8f688908219651c,FALSE,Talum,4,1,FALSE
8f688908219651e,FALSE,Talum,4,1,FALSE
8f6889082196520,FALSE,Talum,4,1,FALSE
8f6889082196521,FALSE,Kuragang,4,1,FALSE
8f6889082196522,FALSE,Talum,4,1,FALSE
8f6889082196523,FALSE,Talum,4,1,FALSE
8f6889082196524,FALSE,Talum,4,1,FALSE
8f6889082196525,FALSE,Kuragang,4,1,FALSE
8f6889082196526,FALSE,Talum,4,1,FALSE
8f688908219652e,FALSE,Talum,4,1,FALSE
8f6889082196530,FALSE,Talum,4,1,FALSE
8f6889082196531,FALSE,Talum,4,1,FALSE
8f6889082196532,FALSE,Talum,4,1,FALSE
8f6889082196533,FALSE,Talum,4,1,FALSE
8f6889082196534,FALSE,Talum,4,1,FALSE
8f6889082196535,FALSE,Talum,4,1,FALSE
8f6889082196536,FALSE,Talum,4,1,FALSE
8f6889082196580,FALSE,Talum,4,1,FALSE
8f6889082196581,FALSE,Talum,4,1,FALSE
